order_id,date,region,amount,quantity,status,comment
1001,2026-01-05,Москва,1200.50,2,paid,
1002,2026-01-06,СПб,890.00,1,paid,
1003,2026-01-06,Москва,,3,pending,
1004,2026-01-07,Казань,2300.00,4,paid,
1005,2026-01-08,Москва,150000.00,1,paid,крупный опт
1006,2026-01-09,СПб,540.00,1,cancelled,
1007,2026-01-10,Казань,760.00,2,paid,
1008,2026-01-10,Москва,980.00,2,pending,
1009,2026-01-11,СПб,430.00,1,paid,
1010,2026-01-12,Москва,1120.00,3,paid,
1010,2026-01-12,Москва,1120.00,3,paid,
1011,2026-01-13,Казань,,2,pending,
1012,2026-01-14,СПб,675.00,1,paid,
